MIXS ID value: MIXS:0001107 is paired with multiple values in Structured comment name: {'samp_name', 'sample_name'}
MIXS ID value: MIXS:0000018 is paired with multiple values in Structured comment name: {'depth', 'soil_depth'}
MIXS ID value: MIXS:0000002 is paired with multiple values in Structured comment name: {'samp_collec_device', 'samp_collect_device'}
MIXS ID value: MIXS:0001225 is paired with multiple values in Structured comment name: {'samp_collec_method', 'samp_collect_method', 'sample_collec_method'}
MIXS ID value: MIXS:0000056 is paired with multiple values in Structured comment name: {'assembly_qual', 'assembly_software'}
MIXS ID value: MIXS:0000058 is paired with multiple values in Structured comment name: {'assembly_quality', 'assembly_software'}
MIXS ID value: MIXS:0000091 is paired with multiple values in Structured comment name: {'associated resource', 'url'}
MIXS ID value: MIXS:0000103 is paired with multiple values in Structured comment name: {'organism_count', 'spikein_count'}
MIXS ID value: MIXS:0000108 is paired with multiple values in Structured comment name: {'air particulate matter concentration', 'air_PM_concen'}
MIXS ID value: MIXS:0000116 is paired with multiple values in Structured comment name: {'samp_store_dur', 'samp_stor_dur'}
MIXS ID value: MIXS:0000755 is paired with multiple values in Structured comment name: {'samp_transport_cont', 'samp_store_loc', 'samp_stor_loc'}
MIXS ID value: MIXS:0000110 is paired with multiple values in Structured comment name: {'samp_store_temp', 'samp_stor_temp'}
MIXS ID value: MIXS:0000872 is paired with multiple values in Structured comment name: {'host_family_relationship', 'host_family_relation'}
MIXS ID value: MIXS:0000525 is paired with multiple values in Structured comment name: {'tot_car', 'tot_carb'}
MIXS ID value: MIXS:0000530 is paired with multiple values in Structured comment name: {'tot_nitro_content', 'tot_nitro'}
MIXS ID value: MIXS:0000571 is paired with multiple values in Structured comment name: {'non_min_nutr_regm', 'non_mineral_nutr_regm'}
MIXS ID value: MIXS:0000316 is paired with multiple values in Structured comment name: {'prev_land_use_meth', 'previous_land_use_meth'}
MIXS ID value: MIXS:0001082 is paired with multiple values in Structured comment name: {'soil_horizon', 'horizon'}
MIXS ID value: MIXS:0000335 is paired with multiple values in Structured comment name: {'soil_text_measure', 'texture'}
MIXS ID value: MIXS:0000336 is paired with multiple values in Structured comment name: {'soil_texture_meth', 'texture_meth'}
MIXS ID value: MIXS:0000338 is paired with multiple values in Structured comment name: {'tot_n_meth', 'tot_nitro_cont_meth'}
MIXS ID value: MIXS:0000339 is paired with multiple values in Structured comment name: {'microbial_biomass_meth', 'micro_biomass_meth'}
MIXS ID value: MIXS:0000689 is paired with multiple values in Structured comment name: {'tot_phos', 'tot_phosphate'}
MIXS ID value: MIXS:0001184 is paired with multiple values in Structured comment name: {'Food_Product_type', 'food_product_type'}
MIXS ID value: MIXS:0001139 is paired with multiple values in Structured comment name: {'Food_source', 'food_source'}
Structured comment name value: assembly_software is paired with multiple values in MIXS ID: {'MIXS:0000058', 'MIXS:0000056'}
Structured comment name value: host_sex is paired with multiple values in MIXS ID: {'MIXS:0000862', 'MIXS:0000811'}
Structured comment name value: host_body_product is paired with multiple values in MIXS ID: {'MIXS:0000868', 'MIXS:0000888'}
Structured comment name value: host_symbiont is paired with multiple values in MIXS ID: {'MIXS:0001309', 'MIXS:0001298'}
Structured comment name value: nose_throat_disord is paired with multiple values in MIXS ID: {'MIXS:0000283', 'MIXS:0000270'}
Structured comment name value: tot_nitro is paired with multiple values in MIXS ID: {'MIXS:0000530', 'MIXS:0000102'}
Structured comment name value: soil_horizon is paired with multiple values in MIXS ID: {'MIXS:0001082', 'MIXS:0001291'}
Structured comment name value: spikein_count is paired with multiple values in MIXS ID: {'MIXS:0000103', 'MIXS:0001335'}
Structured comment name value: samp_transport_cont is paired with multiple values in MIXS ID: {'MIXS:0000755', 'MIXS:0001230'}
